time;throughput (kbps)
20.1;0
20.2;0
20.3;0
20.4;0
20.5;0
20.6;0
20.7;0
20.8;0
20.9;0
21;0
21.1;2201.68
21.2;14532.3
21.3;18070.3
21.4;25299.8
21.5;36278.2
21.6;28557.8
21.7;20282.5
21.8;15999.1
21.9;18816.2
22;27958.7
22.1;32431.4
22.2;56913.8
22.3;61947.2
22.4;43990.6
22.5;57740.6
22.6;59300
22.7;57254.1
22.8;75664.7
22.9;66135.8
23;55133.3
23.1;62925
23.2;63973.8
23.3;68535.6
23.4;80846.2
23.5;81223.6
23.6;81409.7
23.7;83166.5
23.8;78875.7
23.9;81595.2
24;84509.5
24.1;84719
24.2;83450.7
24.3;85244.1
24.4;84337.1
24.5;84398.6
24.6;84624.3
24.7;84392.4
24.8;84380.2
24.9;84920.3
25;84201.8
25.1;84556
25.2;84112
25.3;84873.8
25.4;83912.1
25.5;84750.5
25.6;85195.3
25.7;84139.9
25.8;84630.2
25.9;83893
26;85424.8
26.1;83780.9
26.2;84409.4
26.3;85017.4
26.4;83700.1
26.5;85300.6
26.6;84096.7
26.7;84989.9
26.8;84080.5
26.9;84880.2
27;84527.7
27.1;85126.4
27.2;84452
27.3;84497.8
27.4;84360.4
27.5;84569.2
27.6;84204.1
27.7;84160.2
27.8;84765.8
27.9;84936.9
28;84209.9
28.1;85041.2
28.2;84836.8
28.3;83930.4
28.4;84620.8
28.5;84259.5
28.6;84993.4
28.7;81803.9
28.8;82576.4
28.9;83311.4
29;81971.8
29.1;82926.6
29.2;85766.7
29.3;81357.8
29.4;80826.8
29.5;81980
29.6;82470.3
29.7;79049.4
29.8;80972.6
29.9;78573.9
30;80549.4
30.1;79761.9
30.2;78235.9
30.3;77407.5
30.4;80376.5
30.5;79112.2
30.6;76558.2
30.7;78042
30.8;75946.6
30.9;65235.8
31;74250.7
31.1;74080.2
31.2;72124.7
31.3;68986.4
31.4;84832.6
31.5;67363.1
31.6;77161.2
31.7;69569
31.8;80772.1
31.9;73232.6
32;77789.3
32.1;69981.9
32.2;60567.5
32.3;58196.8
32.4;68974.6
32.5;74273.2
32.6;59921
32.7;69985.8
32.8;66841.4
32.9;54117
33;55814.6
33.1;71858.9
33.2;69123.9
33.3;68952
33.4;58724.2
33.5;64308.9
33.6;53872.2
33.7;57193.8
