time;throughput (kbps)
20.1;0
20.2;0
20.3;0
20.4;0
20.5;0
20.6;0
20.7;0
20.8;1912
20.9;140246
21;322393
21.1;331367
21.2;764148
21.3;641180
21.4;417246
21.5;442447
21.6;180876
21.7;18622.4
21.8;1919.52
21.9;22835.5
22;15706.3
22.1;6821.84
22.2;8569.44
22.3;8003.04
22.4;13610.4
22.5;16940.2
22.6;35670.2
22.7;35760.2
22.8;30846.4
22.9;59046.8
23;59677.1
23.1;59682.6
23.2;56276.2
23.3;86567.5
23.4;60386.7
23.5;59313.9
23.6;55410.5
23.7;93834.5
23.8;59208.5
23.9;109709
24;79542.6
24.1;80416.9
24.2;96312.5
24.3;98620
24.4;43623.5
24.5;70337.9
24.6;75444.4
24.7;53687.8
24.8;46168.6
24.9;45909.8
25;46939.2
25.1;56483.7
25.2;42197
25.3;71526.4
25.4;62699
25.5;55561.4
25.6;59783.3
25.7;52723.6
25.8;39848.8
25.9;66884.5
26;78372.6
26.1;48526.2
26.2;68414.3
26.3;56052.2
26.4;36126.9
26.5;61365.1
26.6;50434.7
26.7;55022.8
26.8;58140.2
26.9;51843.1
27;54851.7
27.1;69918.4
27.2;68902.2
27.3;55700.6
27.4;75257.2
27.5;74367.2
27.6;78038.1
27.7;62685
27.8;58850.2
27.9;66299.2
28;68966.2
28.1;47252.9
28.2;56592.6
28.3;43547.4
28.4;48739.9
28.5;43409.7
28.6;43005.1
28.7;58887.8
28.8;56658.5
28.9;79526.8
29;79542
29.1;72356.2
29.2;75633.2
29.3;73836.9
29.4;53843.6
29.5;57443.2
29.6;75900.4
29.7;74395.8
29.8;68893.7
29.9;65183.7
30;59051.9
30.1;42746.4
30.2;66435.4
30.3;76639.7
30.4;63437
30.5;55223.2
30.6;57028.3
30.7;53416.3
30.8;62444
30.9;71560.1
31;64932.5
31.1;93255.1
31.2;67935
31.3;66887.3
31.4;62061.5
31.5;65222.3
31.6;89128.6
31.7;50636.7
31.8;78089.8
31.9;69116.2
32;42625.3
32.1;63721.3
32.2;71076.1
32.3;39651
32.4;82107
32.5;67736.6
32.6;85537
32.7;50401.7
32.8;48773.8
32.9;99423.6
33;64273.6
33.1;75616.2
33.2;52224.9
33.3;91511.3
33.4;40050.5
33.5;65437.6
33.6;54413.5
33.7;41443.1
33.8;49621.1
